Weighted amount,Deal Description,"Cumulative time in ""BANT Deal. Pain ID'ed (Sales Pipeline)"" (HH:mm:ss)","Cumulative time in ""Opportunity (Sales Pipeline)"" (HH:mm:ss)",Days to close,Deal Score,Close Date,Deal source attribution 2,"Cumulative time in ""In Trial - Trial in Progress (Sales Pipeline)"" (HH:mm:ss)",Contract Start Date,"Cumulative time in ""Partner Referrals  (Sales Pipeline)"" (HH:mm:ss)","Cumulative time in ""Closed Lost (Sales Pipeline)"" (HH:mm:ss)","Cumulative time in ""Deep Dive. PSP Drafted (Sales Pipeline)"" (HH:mm:ss)",Pipeline,Record ID,Forecast category,Original Traffic Source,Associated Company,Deal owner,Annual contract value,Is Closed (numeric),Amount in company currency,Annual recurring revenue,Monthly recurring revenue,Deal probability,Associated Company (Primary),Is Closed Won,Forecast probability,Contract End Date,Last Activity Date,Contract Term (Months),Trial Start date,Is closed lost,Weighted amount in company currency,Is Deal Closed?,Trial End Date,Deal Name,Amount,"Cumulative time in ""Closed Trial (Sales Pipeline)"" (HH:mm:ss)",Forecast amount,"Cumulative time in ""Negotiation (Sales Pipeline)"" (HH:mm:ss)",Is Open (numeric),"Cumulative time in ""Renewals  (Sales Pipeline)"" (HH:mm:ss)",Create Date,"Cumulative time in ""Contract Sent (Sales Pipeline)"" (HH:mm:ss)",Total contract value,Last Modified Date,"Cumulative time in ""Closed Won (Sales Pipeline)"" (HH:mm:ss)",Deal Stage,Deal Type
5000,"Expanding into Colorado 
Agents - TBD",,336:22:51,108,19,1/31/2025 12:26,Customer Referral - Other,,,0:00:50,,,Sales Pipeline,23247429695,Best case,Offline Sources,Associated_059fd31c,Deal_066bf106,,0,10000,,,0.5,Associated_059fd31c,FALSE,,,2/14/2025 9:31,,,FALSE,5000,FALSE,,Deal_85199066,10000,,10000,,1,,10/15/2024 12:36,,,2/14/2025 10:33,,Contract Sent,Growth
7500,Need more details,,336:28:06,108,23,1/31/2025 12:50,Customer Referral - Other,,,0:00:30,,,Sales Pipeline,23247275647,Best case,Offline Sources,Associated_059fd31c,Deal_066bf106,,0,15000,,,0.5,Associated_059fd31c,FALSE,,,2/14/2025 9:31,,,FALSE,7500,FALSE,,Deal_4e4f2ff6,15000,,15000,,1,,10/15/2024 12:31,,,2/14/2025 10:33,,Contract Sent,Growth
0,Will potentially start using it collections depart...,,336:39:53,63,,12/17/2024 12:52,Other,,,,,,Sales Pipeline,23247426827,Not forecasted,Organic Search,Associated_bcd8dc22,Deal_3cf008ff,,1,23544,,,0,Associated_bcd8dc22,FALSE,,,10/22/2024 11:00,,,TRUE,0,TRUE,,Deal_5a438748,23544,,23544,1176:52:51,0,,10/15/2024 12:19,,,1/30/2025 14:04,,Closed Lost,Growth
6000,"Jeremy Rodgers - COO
Kris Mora - 
Jonathan Fields ...",,,148,5,3/12/2025 14:36,Social Media,,,,,,Sales Pipeline,23245883816,Not forecasted,Offline Sources,Associated_ad3c675f,Deal_066bf106,,0,30000,,,0.2,Associated_ad3c675f,FALSE,,,12/3/2024 11:19,,,FALSE,6000,FALSE,,Deal_b2a6e5a5,30000,,30000,,1,,10/15/2024 11:53,,,1/13/2025 19:19,,Opportunity,New
46200,AI Coaching,,,147,41,3/7/2025 13:10,Referral Partner,,,1823:17:09,,,Sales Pipeline,23172924024,Closed won,Offline Sources,Associated_fd1b631a,Deal_86a875eb,,0,66000,,,0.7,Associated_fd1b631a,FALSE,,,2/17/2025 7:30,,1/21/2025,FALSE,46200,FALSE,2/5/2025,Deal_1a077a9d,66000,,66000,,1,,10/11/2024 12:10,481:58:20,,2/17/2025 8:14,,Closed Trial,New
0,.,2705:47:48,,117,,2/5/2025 12:01,Referral Partner,,,103:08:40,,,Sales Pipeline,23172923267,Not forecasted,Direct Traffic,Associated_25f99d0c,Deal_3d3dc242,,1,25000,,,0,Associated_25f99d0c,FALSE,,,11/26/2024 0:06,,,TRUE,0,TRUE,,Deal_26e85ff2,25000,,25000,,0,,10/11/2024 12:04,,,2/5/2025 12:02,,Closed Lost,New
0,Silver,,3023:52:48,125,,2/13/2025 13:26,Other,,,,,,Sales Pipeline,23142937010,Not forecasted,Offline Sources,Associated_34e06c34,Deal_86a875eb,,1,66000,,,0,Associated_34e06c34,FALSE,,,11/27/2024 10:32,,,TRUE,0,TRUE,,Deal_a1e43a24,66000,,66000,,0,,10/10/2024 14:33,,,2/13/2025 13:26,,Closed Lost,New
0,Licenses,,3099:03:44,129,,2/13/2025 13:21,PAM,,,,,,Sales Pipeline,22997393587,Not forecasted,Offline Sources,Associated_46f62f0e,Deal_86a875eb,,1,18000,,,0,Associated_46f62f0e,FALSE,,,11/5/2024 10:38,,,TRUE,0,TRUE,,Deal_00b3423e,18000,,18000,,0,,10/7/2024 11:17,,,2/13/2025 13:21,,Closed Lost,New
10000,Implementation Fee,,,0,,10/2/2024 12:25,Referral Partner,,,,,,Sales Pipeline,22863736667,Closed won,Organic Search,Associated_d29e78a9,Deal_3d3dc242,,1,10000,,,1,Associated_d29e78a9,TRUE,,,1/1/2025 9:00,,,FALSE,10000,TRUE,,Deal_a68932c6,10000,,10000,,0,,10/2/2024 12:25,,,2/11/2025 10:46,,Closed Won,PS
304000,"Renewal, additional $80k for Exclusivity for Human...",,,254,61,6/12/2025 14:40,Other,,,,,,Sales Pipeline,22813103370,Closed won,Offline Sources,Associated_19af168e,Deal_90c2529c,,0,380000,,,0.8,Associated_19af168e,FALSE,,,2/19/2025 12:08,,,FALSE,304000,FALSE,,Deal_cf1b61c1,380000,,380000,,1,,9/30/2024 14:42,,,2/19/2025 12:08,,Renewals ,Renewal
